# Name,X,Y,PHASE,MAG
FE_MEBT:BPM_D1056,FE_MEBT:BPM_D1056:XPOS_RD,FE_MEBT:BPM_D1056:YPOS_RD,FE_MEBT:BPM_D1056:PHASE_RD,FE_MEBT:BPM_D1056:MAG_RD
FE_MEBT:BPM_D1072,FE_MEBT:BPM_D1072:XPOS_RD,FE_MEBT:BPM_D1072:YPOS_RD,FE_MEBT:BPM_D1072:PHASE_RD,FE_MEBT:BPM_D1072:MAG_RD
FE_MEBT:BPM_D1094,FE_MEBT:BPM_D1094:XPOS_RD,FE_MEBT:BPM_D1094:YPOS_RD,FE_MEBT:BPM_D1094:PHASE_RD,FE_MEBT:BPM_D1094:MAG_RD
FE_MEBT:BPM_D1111,FE_MEBT:BPM_D1111:XPOS_RD,FE_MEBT:BPM_D1111:YPOS_RD,FE_MEBT:BPM_D1111:PHASE_RD,FE_MEBT:BPM_D1111:MAG_RD
LS1_CA01:BPM_D1129,LS1_CA01:BPM_D1129:XPOS_RD,LS1_CA01:BPM_D1129:YPOS_RD,LS1_CA01:BPM_D1129:PHASE_RD,LS1_CA01:BPM_D1129:MAG_RD
LS1_CA01:BPM_D1144,LS1_CA01:BPM_D1144:XPOS_RD,LS1_CA01:BPM_D1144:YPOS_RD,LS1_CA01:BPM_D1144:PHASE_RD,LS1_CA01:BPM_D1144:MAG_RD
LS1_WA01:BPM_D1155,LS1_WA01:BPM_D1155:XPOS_RD,LS1_WA01:BPM_D1155:YPOS_RD,LS1_WA01:BPM_D1155:PHASE_RD,LS1_WA01:BPM_D1155:MAG_RD
LS1_CA02:BPM_D1163,LS1_CA02:BPM_D1163:XPOS_RD,LS1_CA02:BPM_D1163:YPOS_RD,LS1_CA02:BPM_D1163:PHASE_RD,LS1_CA02:BPM_D1163:MAG_RD
LS1_CA02:BPM_D1177,LS1_CA02:BPM_D1177:XPOS_RD,LS1_CA02:BPM_D1177:YPOS_RD,LS1_CA02:BPM_D1177:PHASE_RD,LS1_CA02:BPM_D1177:MAG_RD
LS1_WA02:BPM_D1188,LS1_WA02:BPM_D1188:XPOS_RD,LS1_WA02:BPM_D1188:YPOS_RD,LS1_WA02:BPM_D1188:PHASE_RD,LS1_WA02:BPM_D1188:MAG_RD
LS1_CA03:BPM_D1196,LS1_CA03:BPM_D1196:XPOS_RD,LS1_CA03:BPM_D1196:YPOS_RD,LS1_CA03:BPM_D1196:PHASE_RD,LS1_CA03:BPM_D1196:MAG_RD
LS1_CA03:BPM_D1211,LS1_CA03:BPM_D1211:XPOS_RD,LS1_CA03:BPM_D1211:YPOS_RD,LS1_CA03:BPM_D1211:PHASE_RD,LS1_CA03:BPM_D1211:MAG_RD
